name,adress,price,type,RE,area_m2,land_area_m2,disposition,city,city_part,price_KC
Pronájem bytu 2+1 60 m²,"Pod Lesem, Plzeň - Doubravka",15 500 Kč/měsíc,pronájem,bytu,60,,2+1,Plzeň,Doubravka,15500.0
Prodej bytu 1+1 35 m²,"Úvalská, Karlovy Vary - Drahovice",2 600 000 Kč,prodej,bytu,35,,1+1,Karlovy Vary,Drahovice,2600000.0
"Prodej chalupy 110 m², pozemek 331 m²",Sopotnice,1 890 000 Kč,prodej,chalupy,110,331,,Sopotnice,,1890000.0
"Prodej rodinného domu 110 m², pozemek 331 m²",Sopotnice,1 890 000 Kč,prodej,rodinného domu,110,331,,Sopotnice,,1890000.0
"Prodej rodinného domu 250 m², pozemek 800 m²",Jičín,5 890 000 Kč,prodej,rodinného domu,250,800,,Jičín,,5890000.0
Pronájem bytu 2+kk 50 m²,Praha - Zličín,24 500 Kč/měsíc,pronájem,bytu,50,,2+kk,Praha,Zličín,24500.0
"SLEVA: Prodej rodinného domu 166 m², pozemek 1993 m²",Bohutín,15 499 000 Kč,prodej,rodinného domu,166,1993,,Bohutín,,15499000.0
Pronájem bytu 1+1 28 m²,"Drahénská, Novosedlice",7 000 Kč/měsíc,pronájem,bytu,28,,1+1,Novosedlice,,7000.0
"Prodej rodinného domu 140 m², pozemek 200 m²","Josefodolská, Mladá Boleslav - Debř",7 790 000 Kč,prodej,rodinného domu,140,200,,Mladá Boleslav,Debř,7790000.0
"Prodej vícegeneračního domu 270 m², pozemek 645 m²","Netušilská, Praha - Újezd nad Lesy",19 990 000 Kč,prodej,vícegeneračního domu,270,645,,Praha,Újezd nad Lesy,19990000.0
"Prodej rodinného domu 160 m², pozemek 2130 m²",Štoky,1 699 000 Kč,prodej,rodinného domu,160,2130,,Štoky,,1699000.0
"Prodej rodinného domu 141 m², pozemek 553 m²","Za Humny, Kobylnice",12 390 000 Kč,prodej,rodinného domu,141,553,,Kobylnice,,12390000.0
"Prodej rodinného domu 141 m², pozemek 573 m²","Za Humny, Kobylnice",12 490 000 Kč,prodej,rodinného domu,141,573,,Kobylnice,,12490000.0
"Prodej rodinného domu 141 m², pozemek 689 m²","Za Humny, Kobylnice",12 790 000 Kč,prodej,rodinného domu,141,689,,Kobylnice,,12790000.0
Pronájem bytu 3+kk 86 m²,Praha - Zličín,36 000 Kč/měsíc,pronájem,bytu,86,,3+kk,Praha,Zličín,36000.0
"Pronájem rodinného domu 198 m², pozemek 1140 m²","V Hůrce, Dobřejovice",55 000 Kč/měsíc,pronájem,rodinného domu,198,1140,,Dobřejovice,,55000.0
"Prodej rodinného domu 154 m², pozemek 239 m²","U Svornosti, Praha - Dolní Měcholupy",18 490 000 Kč,prodej,rodinného domu,154,239,,Praha,Dolní Měcholupy,18490000.0
"Prodej rodinného domu 157 m², pozemek 632 m²",Vlašim - Domašín,9 390 000 Kč,prodej,rodinného domu,157,632,,Vlašim,Domašín,9390000.0
"Prodej rodinného domu 264 m², pozemek 515 m²","Husovo náměstí, Mladá Vožice",Cena na vyžádání,prodej,rodinného domu,264,515,,Mladá Vožice,,
"Prodej rodinného domu 124 m², pozemek 954 m²","Chlumčanská, Cítoliby",13 990 000 Kč,prodej,rodinného domu,124,954,,Cítoliby,,13990000.0
"Pronájem rodinného domu 124 m², pozemek 860 m²",Cítoliby,30 000 Kč/měsíc,pronájem,rodinného domu,124,860,,Cítoliby,,30000.0
"Pronájem rodinného domu 270 m², pozemek 537 m²","Nebušická, Praha - Nebušice",110 000 Kč/měsíc,pronájem,rodinného domu,270,537,,Praha,Nebušice,110000.0
Pronájem bytu 1+1 46 m²,"Průmyslová, Sezimovo Ústí",9 000 Kč/měsíc,pronájem,bytu,46,,1+1,Sezimovo Ústí,,9000.0
"Prodej rodinného domu 994 m², pozemek 994 m²","1. máje, Kozojedy",6 400 000 Kč,prodej,rodinného domu,994,994,,Kozojedy,,6400000.0
Prodej bytu 3+kk 77 m²,"Marie Podvalové, Praha - Čakovice",11 241 384 Kč,prodej,bytu,77,,3+kk,Praha,Čakovice,11241384.0
Prodej bytu 4+kk 76 m²,"Marie Podvalové, Praha - Čakovice",11 544 326 Kč,prodej,bytu,76,,4+kk,Praha,Čakovice,11544326.0
Prodej bytu 3+kk 79 m²,"Toyen, Praha",16 500 000 Kč,prodej,bytu,79,,3+kk,Praha,,16500000.0
Pronájem bytu 3+1 75 m²,"Dr. Martínka, Ostrava - Hrabůvka",16 500 Kč/měsíc,pronájem,bytu,75,,3+1,Ostrava,Hrabůvka,16500.0
Prodej bytu 3+kk 74 m²,"Františka Jelena, České Budějovice - České Budějovice 5",Cena na vyžádání,prodej,bytu,74,,3+kk,České Budějovice,České Budějovice 5,
Prodej bytu 2+kk 45 m²,"Na Dvorcích, Praha - Krč",6 450 000 Kč,prodej,bytu,45,,2+kk,Praha,Krč,6450000.0
Prodej bytu 1+kk 29 m²,"Vlkova, Praha - Žižkov",3 890 000 Kč,prodej,bytu,29,,1+kk,Praha,Žižkov,3890000.0
Prodej bytu 2+kk 60 m²,"Vlkova, Praha - Žižkov",7 490 000 Kč,prodej,bytu,60,,2+kk,Praha,Žižkov,7490000.0
Prodej bytu 3+kk 87 m²,"Vlkova, Praha - Žižkov",11 690 000 Kč,prodej,bytu,87,,3+kk,Praha,Žižkov,11690000.0
Prodej bytu 2+kk 59 m²,"Vlkova, Praha - Žižkov",10 650 000 Kč,prodej,bytu,59,,2+kk,Praha,Žižkov,10650000.0
"Prodej rodinného domu 244 m², pozemek 2461 m²",Velký Bor,4 490 000 Kč,prodej,rodinného domu,244,2461,,Velký Bor,,4490000.0
Prodej bytu 3+1 97 m²,"Oldřichova, Praha - Nusle",12 690 000 Kč,prodej,bytu,97,,3+1,Praha,Nusle,12690000.0
Prodej bytu 2+kk 51 m²,"Jindřicha Plachty, Praha - Smíchov",7 690 000 Kč,prodej,bytu,51,,2+kk,Praha,Smíchov,7690000.0
Prodej bytu 2+kk 60 m²,"Oldřichova, Praha - Nusle",6 900 000 Kč,prodej,bytu,60,,2+kk,Praha,Nusle,6900000.0
Prodej bytu 2+kk 53 m²,"Vysočanské náměstí, Praha - Vysočany",5 990 000 Kč,prodej,bytu,53,,2+kk,Praha,Vysočany,5990000.0
Prodej bytu 1+kk 31 m²,"Vysočanské náměstí, Praha - Vysočany",4 650 000 Kč,prodej,bytu,31,,1+kk,Praha,Vysočany,4650000.0
Prodej bytu 4+kk 123 m²,"Vysočanské náměstí, Praha - Vysočany",11 950 000 Kč,prodej,bytu,123,,4+kk,Praha,Vysočany,11950000.0
Prodej bytu 3+kk 91 m²,"Vysočanské náměstí, Praha - Vysočany",9 790 000 Kč,prodej,bytu,91,,3+kk,Praha,Vysočany,9790000.0
Prodej bytu 2+kk 57 m²,"Vysočanské náměstí, Praha - Vysočany",6 250 000 Kč,prodej,bytu,57,,2+kk,Praha,Vysočany,6250000.0
Prodej bytu 1+kk 29 m²,"Vysočanské náměstí, Praha - Vysočany",3 690 000 Kč,prodej,bytu,29,,1+kk,Praha,Vysočany,3690000.0
Prodej bytu 1+1 41 m²,"Vysočanské náměstí, Praha - Vysočany",4 690 000 Kč,prodej,bytu,41,,1+1,Praha,Vysočany,4690000.0
Prodej bytu 1+1 49 m²,"Oldřichova, Praha - Nusle",7 390 000 Kč,prodej,bytu,49,,1+1,Praha,Nusle,7390000.0
Prodej bytu 2+kk 35 m²,"Vlkova, Praha - Žižkov",6 290 000 Kč,prodej,bytu,35,,2+kk,Praha,Žižkov,6290000.0
Prodej bytu 1+kk 34 m²,"Jindřicha Plachty, Praha - Smíchov",5 450 000 Kč,prodej,bytu,34,,1+kk,Praha,Smíchov,5450000.0
Pronájem bytu 2+kk 66 m²,"Jantarová, Ostrava - Moravská Ostrava",16 000 Kč/měsíc,pronájem,bytu,66,,2+kk,Ostrava,Moravská Ostrava,16000.0
Prodej bytu 1+kk 55 m²,"8. května, Olomouc",8 044 080 Kč,prodej,bytu,55,,1+kk,Olomouc,,8044080.0
Prodej bytu 1+kk 40 m²,"8. května, Olomouc",5 895 120 Kč,prodej,bytu,40,,1+kk,Olomouc,,5895120.0
Pronájem bytu 1+kk 34 m²,"U Leskavy, Brno - Starý Lískovec",14 000 Kč/měsíc,pronájem,bytu,34,,1+kk,Brno,Starý Lískovec,14000.0
Prodej bytu 3+kk 98 m²,"Augustina Lukeše, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",2 481 776 Kč,prodej,bytu,98,,3+kk,Brandýs nad Labem,Stará Boleslav - Brandýs nad Labem,2481776.0
Prodej bytu 4+kk 99 m²,Hodějice,7 490 000 Kč,prodej,bytu,99,,4+kk,Hodějice,,7490000.0
"Prodej rodinného domu 110 m², pozemek 304 m²","Široká, Křenovice",9 990 000 Kč,prodej,rodinného domu,110,304,,Křenovice,,9990000.0
"Prodej rodinného domu 158 m², pozemek 294 m²",Kobylnice,12 390 000 Kč,prodej,rodinného domu,158,294,,Kobylnice,,12390000.0
Prodej bytu 3+kk 95 m²,"Vídeňská, Brno - Štýřice",Cena na vyžádání,prodej,bytu,95,,3+kk,Brno,Štýřice,
Prodej bytu 2+kk 98 m²,"Augustina Lukeše, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",2 481 776 Kč,prodej,bytu,98,,2+kk,Brandýs nad Labem,Stará Boleslav - Brandýs nad Labem,2481776.0
Prodej bytu 4+kk 98 m²,"Augustina Lukeše, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",2 481 776 Kč,prodej,bytu,98,,4+kk,Brandýs nad Labem,Stará Boleslav - Brandýs nad Labem,2481776.0
Pronájem bytu 2+kk 61 m²,"Saarinenova, Praha - Hloubětín",27 000 Kč/měsíc,pronájem,bytu,61,,2+kk,Praha,Hloubětín,27000.0
Prodej bytu 1+kk 24 m²,"Velké náměstí, Králíky",3 261 000 Kč,prodej,bytu,24,,1+kk,Králíky,,3261000.0
Prodej bytu 1+kk 45 m²,"Velké náměstí, Králíky",6 691 000 Kč,prodej,bytu,45,,1+kk,Králíky,,6691000.0
Prodej bytu 1+kk 31 m²,"Velké náměstí, Králíky",4 501 000 Kč,prodej,bytu,31,,1+kk,Králíky,,4501000.0
Prodej bytu 3+kk 64 m²,"Nad Pisárkami, Brno - Pisárky",14 764 242 Kč,prodej,bytu,64,,3+kk,Brno,Pisárky,14764242.0
